"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"40%","2 Hours","Within","10 Weeks","4/8",17,71,12,13,12,0.497,0.515,0.121,0.134,2.135,1.291,0.809,63,46.3
"50%","2 Hours","Within","10 Weeks","4/8",18,71,13,13,13,0.5,0.519,0.125,0.135,2.136,1.377,0.825,62.7,46.8
"10%","2.5 Hours","Within","10 Weeks","4/8",13,64,9,10,9,0.53,0.541,0.101,0.127,2.22,0.744,0.687,65.8,42.6
"20%","2.5 Hours","Within","10 Weeks","4/8",16,69,11,12,11,0.55,0.562,0.112,0.134,2.276,1.026,0.757,64,45.2
"30%","2.5 Hours","Within","10 Weeks","4/8",17,71,12,13,12,0.56,0.573,0.118,0.138,2.289,1.188,0.791,63.3,46.4
"40%","2.5 Hours","Within","10 Weeks","4/8",18,72,13,14,13,0.566,0.581,0.122,0.14,2.283,1.298,0.812,62.9,47.1
"40%","1 Hour","Across","8 Weeks","2/8",35,97,31,28,28,0.3868,0.42,0.1096,0.0913,1.214,1.155,0.686,68.65,38.62
"50%","2.5 Hours","Within","10 Weeks","4/8",18,72,13,14,13,0.571,0.587,0.126,0.142,2.281,1.386,0.828,62.7,47.6
"10%","1 Hour","Across","12 Weeks","4/8",19,74,14,14,13,0.358,0.38,0.097,0.095,1.511,0.74,0.684,67.8,38.5
"20%","1 Hour","Across","12 Weeks","4/8",22,77,16,16,15,0.363,0.388,0.106,0.099,1.517,0.981,0.735,66.5,41.5
"30%","1 Hour","Across","12 Weeks","4/8",23,79,17,17,17,0.366,0.394,0.112,0.101,1.519,1.138,0.764,65.9,42.9
"40%","1 Hour","Across","12 Weeks","4/8",24,79,18,18,17,0.368,0.397,0.116,0.103,1.527,1.245,0.784,65.5,43.6
"50%","1 Hour","Across","12 Weeks","4/8",24,80,19,18,18,0.37,0.399,0.119,0.105,1.535,1.337,0.8,65.2,44.2
"10%","1.5 Hours","Across","12 Weeks","4/8",22,77,16,17,15,0.487,0.503,0.099,0.109,1.839,0.762,0.691,67.8,41.4
"20%","1.5 Hours","Across","12 Weeks","4/8",25,81,19,19,18,0.498,0.517,0.107,0.112,1.822,0.998,0.739,66.6,44.9
"30%","1.5 Hours","Across","12 Weeks","4/8",27,82,21,20,19,0.503,0.523,0.113,0.115,1.816,1.151,0.769,66,46.4
"40%","1.5 Hours","Across","12 Weeks","4/8",28,83,22,21,20,0.508,0.529,0.117,0.116,1.809,1.26,0.791,65.6,47.3
"50%","1 Hour","Across","8 Weeks","2/8",35,97,31,28,28,0.3889,0.4231,0.1131,0.0931,1.2257,1.2428,0.7017,68.31,39.03
"50%","1.5 Hours","Across","12 Weeks","4/8",28,83,22,21,21,0.511,0.533,0.121,0.118,1.808,1.35,0.806,65.3,47.9
"10%","2 Hours","Across","12 Weeks","4/8",23,79,17,18,16,0.596,0.609,0.1,0.119,2.058,0.768,0.694,67.9,43.2
"20%","2 Hours","Across","12 Weeks","4/8",27,82,21,21,20,0.614,0.63,0.108,0.122,2.025,1.004,0.744,66.7,46.9
"30%","2 Hours","Across","12 Weeks","4/8",29,83,23,22,21,0.624,0.64,0.114,0.124,2.008,1.157,0.773,66.1,48.5
"40%","2 Hours","Across","12 Weeks","4/8",30,84,24,23,22,0.632,0.649,0.118,0.126,1.997,1.267,0.794,65.7,49.4
"50%","2 Hours","Across","12 Weeks","4/8",30,85,24,23,23,0.637,0.655,0.122,0.127,1.989,1.356,0.81,65.4,50
"10%","2.5 Hours","Across","12 Weeks","4/8",24,80,18,19,17,0.689,0.7,0.101,0.126,2.208,0.773,0.696,68,44.3
"20%","2.5 Hours","Across","12 Weeks","4/8",28,84,22,22,21,0.716,0.728,0.109,0.13,2.165,1.011,0.746,66.8,48.2
"30%","2.5 Hours","Across","12 Weeks","4/8",30,85,24,23,22,0.731,0.745,0.115,0.132,2.147,1.164,0.776,66.2,49.9
"40%","2.5 Hours","Across","12 Weeks","4/8",31,85,25,24,23,0.742,0.755,0.119,0.134,2.129,1.274,0.797,65.8,50.9
"10%","1.5 Hours","Across","8 Weeks","2/8",31,97,27,26,24,0.5084,0.5279,0.0933,0.0942,1.4197,0.6751,0.5967,71.01,36.58
"50%","2.5 Hours","Across","12 Weeks","4/8",32,86,26,25,24,0.748,0.763,0.123,0.135,2.12,1.364,0.814,65.5,51.6
"10%","1 Hour","Within","12 Weeks","4/8",8,49,6,6,6,0.296,0.319,0.096,0.096,1.48,0.723,0.665,66.6,42.9
"20%","1 Hour","Within","12 Weeks","4/8",11,55,7,8,7,0.302,0.33,0.107,0.104,1.553,0.977,0.736,64.7,45
"30%","1 Hour","Within","12 Weeks","4/8",12,57,8,9,8,0.306,0.336,0.113,0.109,1.58,1.134,0.774,63.9,46
"40%","1 Hour","Within","12 Weeks","4/8",12,58,9,9,8,0.308,0.339,0.117,0.111,1.591,1.236,0.796,63.5,46.6
"50%","1 Hour","Within","12 Weeks","4/8",12,59,9,9,9,0.309,0.343,0.121,0.113,1.601,1.319,0.812,63.2,47
"10%","1.5 Hours","Within","12 Weeks","4/8",10,53,7,8,7,0.394,0.409,0.099,0.112,1.86,0.747,0.685,65.9,44.3
"20%","1.5 Hours","Within","12 Weeks","4/8",13,58,9,10,9,0.405,0.424,0.11,0.119,1.919,1.022,0.757,64,46.8
"30%","1.5 Hours","Within","12 Weeks","4/8",14,61,10,10,10,0.411,0.432,0.117,0.123,1.933,1.181,0.793,63.2,47.9
"40%","1.5 Hours","Within","12 Weeks","4/8",14,62,10,11,10,0.414,0.437,0.121,0.126,1.939,1.287,0.815,62.9,48.6
"20%","1.5 Hours","Across","8 Weeks","2/8",36,97,32,30,28,0.5252,0.5483,0.1021,0.0988,1.4357,0.9119,0.6484,69.65,39.6
"50%","1.5 Hours","Within","12 Weeks","4/8",15,63,11,11,10,0.416,0.44,0.125,0.127,1.943,1.375,0.832,62.6,49
"10%","2 Hours","Within","12 Weeks","4/8",11,55,7,9,7,0.473,0.486,0.101,0.122,2.12,0.754,0.693,65.6,45.1
"20%","2 Hours","Within","12 Weeks","4/8",14,61,10,10,10,0.489,0.503,0.112,0.13,2.177,1.03,0.766,63.7,47.8
"30%","2 Hours","Within","12 Weeks","4/8",15,63,11,11,11,0.495,0.513,0.119,0.134,2.191,1.195,0.801,62.9,49.1
"40%","2 Hours","Within","12 Weeks","4/8",16,64,11,12,11,0.5,0.518,0.123,0.136,2.187,1.304,0.823,62.6,49.8
"50%","2 Hours","Within","12 Weeks","4/8",16,65,12,12,11,0.503,0.522,0.126,0.137,2.187,1.394,0.841,62.3,50.3
"10%","2.5 Hours","Within","12 Weeks","4/8",11,57,8,9,8,0.535,0.545,0.103,0.129,2.297,0.76,0.699,65.3,45.7
"20%","2.5 Hours","Within","12 Weeks","4/8",14,62,10,11,10,0.554,0.565,0.113,0.137,2.347,1.041,0.772,63.4,48.5
"30%","2.5 Hours","Within","12 Weeks","4/8",16,65,11,12,11,0.563,0.577,0.12,0.141,2.354,1.206,0.806,62.7,49.9
"40%","2.5 Hours","Within","12 Weeks","4/8",16,66,12,12,12,0.569,0.583,0.124,0.143,2.345,1.313,0.828,62.4,50.7
"30%","1.5 Hours","Across","8 Weeks","2/8",38,97,34,31,30,0.5334,0.5588,0.108,0.1018,1.4474,1.0639,0.6779,68.89,40.98
"50%","2.5 Hours","Within","12 Weeks","4/8",17,66,12,13,12,0.574,0.589,0.128,0.145,2.344,1.405,0.846,62.2,51.2
"40%","1.5 Hours","Across","8 Weeks","2/8",39,98,35,32,32,0.5393,0.5662,0.1124,0.1042,1.46,1.1797,0.6983,68.42,41.8
"50%","1 Hour","Across","6 Weeks","2/8",44,99,43,38,38,0.4585,0.4937,0.1158,0.0979,1.2577,1.4427,0.6584,70.73,38.42
"50%","1.5 Hours","Across","8 Weeks","2/8",40,98,36,32,33,0.5429,0.5704,0.1162,0.1061,1.4713,1.2735,0.7149,68.04,42.36
"10%","2 Hours","Across","8 Weeks","2/8",33,97,29,28,26,0.6302,0.6468,0.0944,0.1042,1.6159,0.6834,0.603,70.91,38.13
"20%","2 Hours","Across","8 Weeks","2/8",38,98,34,32,31,0.6532,0.6729,0.1035,0.1092,1.631,0.9216,0.6555,69.53,41.47
"30%","2 Hours","Across","8 Weeks","2/8",41,98,37,34,33,0.6648,0.6862,0.1096,0.1125,1.6435,1.0791,0.6853,68.76,43.06
"40%","2 Hours","Across","8 Weeks","2/8",42,98,38,35,34,0.6722,0.6946,0.1142,0.115,1.6567,1.1968,0.706,68.27,44.04
"50%","2 Hours","Across","8 Weeks","2/8",43,98,40,35,35,0.6772,0.6999,0.1181,0.117,1.6664,1.2952,0.7232,67.88,44.7
"10%","2.5 Hours","Across","8 Weeks","2/8",35,97,31,29,27,0.735,0.7495,0.0954,0.112,1.7636,0.6885,0.6071,70.82,39.15
"20%","2.5 Hours","Across","8 Weeks","2/8",40,98,36,33,32,0.7647,0.7815,0.1047,0.1173,1.7777,0.9298,0.6596,69.41,42.75
"30%","2.5 Hours","Across","8 Weeks","2/8",42,98,39,35,35,0.7793,0.7978,0.1108,0.1208,1.7928,1.0904,0.6899,68.63,44.55
"40%","2.5 Hours","Across","8 Weeks","2/8",44,98,41,36,36,0.7883,0.8081,0.1156,0.1235,1.806,1.2115,0.7115,68.11,45.66
"10%","1.5 Hours","Across","6 Weeks","2/8",40,99,37,35,33,0.5892,0.6117,0.0919,0.0993,1.4154,0.7603,0.5618,73.09,36.34
"50%","2.5 Hours","Across","8 Weeks","2/8",45,98,42,37,37,0.7945,0.8144,0.1196,0.1256,1.8155,1.3123,0.7292,67.7,46.4
"10%","1 Hour","Within","8 Weeks","2/8",22,91,18,18,16,0.3188,0.3409,0.091,0.0897,1.288,0.6504,0.6006,69.69,40.1
"20%","1 Hour","Within","8 Weeks","2/8",26,92,20,20,19,0.327,0.3526,0.1,0.0946,1.3192,0.8881,0.6538,68.31,43.07
"30%","1 Hour","Within","8 Weeks","2/8",27,93,22,21,20,0.3312,0.359,0.1057,0.0975,1.3417,1.0382,0.6826,67.61,44.36
"40%","1 Hour","Within","8 Weeks","2/8",28,93,22,21,21,0.3338,0.3633,0.1097,0.0994,1.3553,1.1453,0.7008,67.18,45.11
"50%","1 Hour","Within","8 Weeks","2/8",28,93,23,22,22,0.3358,0.3662,0.113,0.1011,1.3665,1.2303,0.715,66.88,45.56
"10%","1.5 Hours","Within","8 Weeks","2/8",25,92,19,20,18,0.424,0.4412,0.0925,0.1008,1.5454,0.6582,0.6079,69.64,42.28
"20%","1.5 Hours","Within","8 Weeks","2/8",28,93,23,22,21,0.4372,0.4569,0.1014,0.1058,1.5687,0.8967,0.661,68.27,45.63
"30%","1.5 Hours","Within","8 Weeks","2/8",30,94,24,23,23,0.4445,0.4656,0.1072,0.1086,1.584,1.0505,0.6902,67.57,47.11
"40%","1.5 Hours","Within","8 Weeks","2/8",31,94,25,24,23,0.4489,0.4713,0.1113,0.1105,1.5936,1.1597,0.7091,67.14,47.99
"20%","1.5 Hours","Across","6 Weeks","2/8",45,99,42,39,38,0.6103,0.6359,0.1023,0.1046,1.4555,1.0266,0.6084,71.86,38.95
"50%","1.5 Hours","Within","8 Weeks","2/8",31,94,26,24,24,0.4525,0.4753,0.1148,0.1123,1.6017,1.2447,0.7233,66.85,48.53
"10%","2 Hours","Within","8 Weeks","2/8",26,93,21,21,19,0.5093,0.5236,0.0934,0.1086,1.7243,0.6619,0.612,69.59,43.54
"20%","2 Hours","Within","8 Weeks","2/8",30,94,24,24,22,0.5282,0.5446,0.1024,0.1136,1.7395,0.9015,0.6647,68.24,47.15
"30%","2 Hours","Within","8 Weeks","2/8",31,94,26,25,24,0.5389,0.5565,0.1081,0.1164,1.7511,1.0559,0.6939,67.55,48.77
"40%","2 Hours","Within","8 Weeks","2/8",32,94,27,25,25,0.5457,0.5641,0.1123,0.1184,1.7582,1.1671,0.7128,67.12,49.72
"50%","2 Hours","Within","8 Weeks","2/8",33,95,27,26,25,0.5507,0.5693,0.1159,0.1202,1.7658,1.2545,0.7274,66.82,50.33
"10%","2.5 Hours","Within","8 Weeks","2/8",27,93,21,22,20,0.5795,0.5917,0.0941,0.1142,1.8443,0.6618,0.6143,69.58,44.36
"20%","2.5 Hours","Within","8 Weeks","2/8",30,94,25,24,23,0.605,0.6192,0.1031,0.1194,1.8562,0.9033,0.6677,68.22,48.15
"30%","2.5 Hours","Within","8 Weeks","2/8",32,95,27,26,25,0.6196,0.6346,0.1088,0.1224,1.8682,1.0605,0.6968,67.53,49.89
"40%","2.5 Hours","Within","8 Weeks","2/8",33,95,28,26,26,0.6289,0.6446,0.1131,0.1244,1.8733,1.1714,0.716,67.1,50.89
"30%","1.5 Hours","Across","6 Weeks","2/8",47,99,45,41,40,0.6206,0.6475,0.1091,0.1082,1.4852,1.2096,0.6374,71.13,40.2
"50%","2.5 Hours","Within","8 Weeks","2/8",34,95,28,27,26,0.6352,0.6511,0.1168,0.1263,1.8799,1.2603,0.7305,66.79,51.56
"10%","1 Hour","Across","10 Weeks","2/8",28,97,25,24,22,0.3757,0.4014,0.0926,0.0821,1.1558,0.6705,0.5903,71.13,37.21
"20%","1 Hour","Across","10 Weeks","2/8",33,97,29,27,26,0.3852,0.4155,0.1003,0.0864,1.1777,0.9048,0.6407,69.81,40.09
"30%","1 Hour","Across","10 Weeks","2/8",34,97,31,28,27,0.3905,0.4234,0.1059,0.0893,1.1937,1.0536,0.6687,69.12,41.31
"40%","1 Hour","Across","10 Weeks","2/8",35,98,32,29,29,0.3936,0.4281,0.1102,0.0915,1.2089,1.1657,0.6879,68.67,42.03
"50%","1 Hour","Across","10 Weeks","2/8",36,98,33,29,29,0.3956,0.4312,0.1138,0.0933,1.2215,1.2569,0.7037,68.3,42.49
"10%","1.5 Hours","Across","10 Weeks","2/8",32,97,28,27,25,0.52,0.5411,0.0939,0.0949,1.4191,0.6852,0.5991,71.02,39.93
"20%","1.5 Hours","Across","10 Weeks","2/8",37,98,33,31,30,0.5358,0.5605,0.1028,0.0994,1.4326,0.9223,0.6499,69.66,43.31
"30%","1.5 Hours","Across","10 Weeks","2/8",39,98,35,32,32,0.5436,0.5706,0.1087,0.1024,1.4461,1.0774,0.6795,68.91,44.87
"40%","1.5 Hours","Across","10 Weeks","2/8",40,98,37,33,33,0.5491,0.5779,0.1133,0.1049,1.4614,1.1956,0.7007,68.4,45.8
"40%","1.5 Hours","Across","6 Weeks","2/8",49,99,47,42,42,0.6266,0.6547,0.1147,0.111,1.5085,1.3639,0.6576,70.64,40.94
"50%","1.5 Hours","Across","10 Weeks","2/8",41,98,38,34,34,0.5524,0.5819,0.1172,0.1069,1.4727,1.2921,0.7179,68.01,46.42
"10%","2 Hours","Across","10 Weeks","2/8",34,97,30,29,27,0.6459,0.6644,0.0952,0.1053,1.6217,0.6958,0.6059,70.9,41.72
"20%","2 Hours","Across","10 Weeks","2/8",40,98,36,33,32,0.6681,0.6893,0.1044,0.1102,1.6381,0.936,0.6577,69.5,45.51
"30%","2 Hours","Across","10 Weeks","2/8",42,98,38,35,34,0.679,0.7022,0.1105,0.1135,1.6524,1.0967,0.6875,68.72,47.34
"40%","2 Hours","Across","10 Weeks","2/8",43,98,40,36,36,0.6859,0.7105,0.1152,0.1162,1.667,1.2181,0.7087,68.2,48.48
"50%","2 Hours","Across","10 Weeks","2/8",44,98,41,37,37,0.6904,0.7154,0.1193,0.1183,1.6779,1.3198,0.726,67.78,49.24
"10%","2.5 Hours","Across","10 Weeks","2/8",36,98,32,31,28,0.7547,0.7714,0.0963,0.1136,1.7783,0.7052,0.6113,70.76,42.94
"20%","2.5 Hours","Across","10 Weeks","2/8",41,98,38,35,34,0.7825,0.8014,0.1057,0.1189,1.7965,0.948,0.6637,69.33,47.1
"30%","2.5 Hours","Across","10 Weeks","2/8",44,98,41,37,36,0.7966,0.8176,0.1121,0.1225,1.8133,1.1118,0.694,68.54,49.15
"40%","2.5 Hours","Across","10 Weeks","2/8",45,98,43,38,38,0.805,0.8272,0.1169,0.1252,1.828,1.2363,0.7157,68.01,50.44
