"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"50%","2 Hours","Within","12 Weeks","2/8",30,90,24,23,23,0.561,0.58,0.121,0.127,1.926,1.321,0.771,65.2,58.6
"10%","2.5 Hours","Within","12 Weeks","2/8",24,87,18,19,17,0.5905,0.6022,0.0979,0.1209,2.0312,0.6996,0.65,68.02,51.74
"20%","2.5 Hours","Within","12 Weeks","2/8",28,89,22,22,21,0.617,0.631,0.108,0.126,2.038,0.957,0.708,66.6,56.1
"30%","2.5 Hours","Within","12 Weeks","2/8",30,90,24,23,22,0.632,0.646,0.114,0.129,2.039,1.117,0.739,65.9,58.1
"40%","2.5 Hours","Within","12 Weeks","2/8",30,91,25,24,23,0.641,0.657,0.118,0.131,2.041,1.235,0.759,65.5,59.3
"10%","2.5 Hours","Across","6 Weeks","2/8",43,99,41,38,36,0.8256,0.844,0.0947,0.1158,1.7162,0.7785,0.5732,72.76,38.41
"50%","2.5 Hours","Within","12 Weeks","2/8",31,91,25,24,24,0.649,0.665,0.122,0.133,2.042,1.324,0.774,65.2,60
"10%","1 Hour","Across","6 Weeks","3/8",26,95,22,22,20,0.359,0.381,0.092,0.083,1.193,0.655,0.591,70.8,30.1
"20%","1 Hour","Across","6 Weeks","3/8",30,96,26,24,23,0.368,0.394,0.1,0.087,1.21,0.891,0.641,69.5,32.4
"30%","1 Hour","Across","6 Weeks","3/8",32,96,27,26,25,0.373,0.402,0.105,0.09,1.226,1.038,0.67,68.8,33.3
"40%","1 Hour","Across","6 Weeks","3/8",33,96,29,26,26,0.376,0.407,0.109,0.092,1.237,1.143,0.689,68.4,33.9
"50%","1 Hour","Across","6 Weeks","3/8",33,97,29,27,27,0.378,0.411,0.113,0.093,1.247,1.23,0.705,68.1,34.2
