"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"30%","1 Hour","Within","12 Weeks","2/8",50,88,40,37,36,0.2617,0.2868,0.103,0.1094,1.5121,1.0873,0.6481,69.84,60.69
"40%","1 Hour","Within","12 Weeks","2/8",51,88,41,38,37,0.2649,0.291,0.1066,0.1118,1.5463,1.1967,0.6669,69.38,61.85
"50%","1 Hour","Within","12 Weeks","2/8",51,88,41,38,37,0.267,0.2936,0.1092,0.1134,1.5699,1.2731,0.6792,69.09,62.56
"10%","1.5 Hours","Within","12 Weeks","2/8",46,86,36,35,32,0.3001,0.3205,0.0924,0.1104,1.6155,0.7167,0.5772,71.73,56.15
"20%","1.5 Hours","Within","12 Weeks","2/8",50,88,40,38,36,0.314,0.3358,0.1004,0.1166,1.7078,0.9652,0.6287,70.33,61.11
"30%","1.5 Hours","Within","12 Weeks","2/8",52,89,42,39,38,0.321,0.3438,0.1055,0.1204,1.7593,1.1181,0.6588,69.54,63.4
"40%","1.5 Hours","Within","12 Weeks","2/8",53,89,43,40,38,0.3261,0.3497,0.1093,0.123,1.7941,1.2307,0.6783,69.07,64.68
"50%","2 Hours","Across","6 Weeks","2/8",74,99,66,60,60,0.5217,0.5478,0.133,0.1361,1.956,1.7919,0.7638,69.17,51.8
"50%","1.5 Hours","Within","12 Weeks","2/8",54,89,43,40,39,0.3295,0.3536,0.1121,0.1248,1.8188,1.3117,0.6916,68.76,65.51
"10%","2 Hours","Within","12 Weeks","2/8",46,87,37,36,33,0.3352,0.3547,0.0934,0.1162,1.7589,0.7255,0.5817,71.62,57.07
"20%","2 Hours","Within","12 Weeks","2/8",51,88,41,39,37,0.3531,0.374,0.1016,0.1229,1.8581,0.9779,0.6342,70.18,62.2
"30%","2 Hours","Within","12 Weeks","2/8",53,89,43,40,38,0.362,0.3838,0.1069,0.1269,1.9111,1.1338,0.6646,69.39,64.59
"40%","2 Hours","Within","12 Weeks","2/8",54,89,44,41,39,0.368,0.3904,0.1107,0.1297,1.9466,1.2472,0.6844,68.9,65.99
