"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"50%","1.5 Hours","Across","10 Weeks","4/8",55,87,45,42,40,0.369,0.393,0.121,0.134,2.002,1.49,0.769,67.3,54.1
"10%","2 Hours","Across","10 Weeks","4/8",47,84,37,37,34,0.384,0.403,0.1,0.126,2.019,0.872,0.65,70.2,47.3
"20%","2 Hours","Across","10 Weeks","4/8",52,86,42,40,38,0.403,0.424,0.109,0.133,2.097,1.131,0.705,68.8,51.6
"30%","2 Hours","Across","10 Weeks","4/8",55,87,44,42,40,0.414,0.435,0.115,0.137,2.136,1.303,0.737,68,53.5
"40%","2 Hours","Across","10 Weeks","4/8",56,87,45,42,41,0.421,0.443,0.119,0.14,2.164,1.421,0.758,67.5,54.6
"50%","2 Hours","Across","10 Weeks","4/8",56,87,46,43,41,0.426,0.449,0.123,0.142,2.189,1.521,0.776,67.1,55.3
"10%","2.5 Hours","Across","10 Weeks","4/8",48,84,38,37,34,0.418,0.436,0.101,0.131,2.138,0.881,0.653,70.1,47.7
"20%","2.5 Hours","Across","10 Weeks","4/8",53,86,42,41,38,0.441,0.461,0.11,0.138,2.219,1.143,0.708,68.7,52.2
"30%","2.5 Hours","Across","10 Weeks","4/8",55,87,45,42,40,0.454,0.474,0.116,0.142,2.256,1.316,0.74,67.9,54.1
"40%","2.5 Hours","Across","10 Weeks","4/8",56,87,46,43,41,0.462,0.483,0.12,0.145,2.284,1.436,0.761,67.4,55.3
"20%","1 Hour","Across","8 Weeks","2/8",58,96,48,46,43,0.3082,0.3338,0.1056,0.1044,1.4442,1.0896,0.6753,69.81,46.96
"50%","2.5 Hours","Across","10 Weeks","4/8",57,88,47,43,42,0.468,0.489,0.124,0.147,2.308,1.538,0.78,67,56
"10%","1 Hour","Within","10 Weeks","4/8",30,68,23,23,21,0.222,0.244,0.086,0.097,1.329,0.63,0.552,72.4,44.1
"20%","1 Hour","Within","10 Weeks","4/8",34,71,26,25,24,0.231,0.255,0.094,0.103,1.416,0.862,0.6,71.1,46.9
"30%","1 Hour","Within","10 Weeks","4/8",36,73,28,26,25,0.235,0.26,0.098,0.107,1.465,1.002,0.626,70.5,48.1
"40%","1 Hour","Within","10 Weeks","4/8",37,73,29,27,26,0.239,0.264,0.101,0.109,1.503,1.101,0.644,70.1,48.8
"50%","1 Hour","Within","10 Weeks","4/8",37,74,29,27,26,0.24,0.266,0.104,0.111,1.532,1.175,0.657,69.8,49.3
"10%","1.5 Hours","Within","10 Weeks","4/8",31,70,24,24,22,0.265,0.286,0.089,0.106,1.549,0.653,0.564,72,45.3
"20%","1.5 Hours","Within","10 Weeks","4/8",36,73,28,27,25,0.278,0.3,0.096,0.113,1.651,0.896,0.613,70.7,48.3
"40%","1.5 Hours","Within","10 Weeks","4/8",39,75,30,29,27,0.289,0.313,0.105,0.12,1.742,1.143,0.658,69.6,50.4
"30%","1 Hour","Across","8 Weeks","2/8",60,96,50,47,45,0.3139,0.3416,0.1117,0.1071,1.4768,1.2549,0.7084,68.97,48.59
"50%","1.5 Hours","Within","10 Weeks","4/8",39,75,31,29,28,0.292,0.316,0.107,0.122,1.771,1.22,0.671,69.3,51
"10%","2 Hours","Within","10 Weeks","4/8",32,70,25,25,22,0.293,0.314,0.09,0.111,1.677,0.661,0.568,71.8,45.8
"20%","2 Hours","Within","10 Weeks","4/8",37,73,28,27,26,0.309,0.331,0.098,0.118,1.785,0.908,0.618,70.5,48.9
"30%","2 Hours","Within","10 Weeks","4/8",38,75,30,29,27,0.317,0.34,0.103,0.123,1.84,1.055,0.646,69.9,50.3
"40%","2 Hours","Within","10 Weeks","4/8",39,75,31,29,28,0.323,0.346,0.106,0.125,1.878,1.162,0.664,69.4,51.2
"50%","2 Hours","Within","10 Weeks","4/8",40,76,32,30,28,0.327,0.35,0.109,0.127,1.908,1.242,0.678,69.2,51.8
"10%","2.5 Hours","Within","10 Weeks","4/8",32,71,25,25,23,0.314,0.334,0.09,0.114,1.758,0.666,0.571,71.7,46
"20%","2.5 Hours","Within","10 Weeks","4/8",37,73,29,28,26,0.332,0.353,0.098,0.122,1.871,0.915,0.621,70.4,49.2
"30%","2.5 Hours","Within","10 Weeks","4/8",39,75,30,29,27,0.342,0.363,0.103,0.126,1.927,1.064,0.649,69.8,50.7
"40%","2.5 Hours","Within","10 Weeks","4/8",40,76,31,30,28,0.348,0.37,0.107,0.129,1.965,1.172,0.668,69.3,51.6
"40%","1 Hour","Across","8 Weeks","2/8",61,96,52,48,46,0.3177,0.3468,0.1161,0.1088,1.4982,1.3796,0.7317,68.42,49.53
"50%","2.5 Hours","Within","10 Weeks","4/8",40,76,32,30,29,0.353,0.375,0.11,0.131,1.996,1.254,0.682,69,52.2
"10%","1 Hour","Across","12 Weeks","4/8",43,79,34,33,30,0.271,0.294,0.097,0.108,1.585,0.833,0.641,70.5,48.9
"20%","1 Hour","Across","12 Weeks","4/8",48,81,38,36,34,0.281,0.306,0.105,0.114,1.649,1.084,0.696,69.1,53
"30%","1 Hour","Across","12 Weeks","4/8",50,82,39,37,35,0.286,0.312,0.111,0.117,1.697,1.244,0.727,68.4,54.8
"40%","1 Hour","Across","12 Weeks","4/8",51,83,40,38,36,0.289,0.316,0.114,0.119,1.726,1.354,0.747,67.9,55.9
"50%","1 Hour","Across","12 Weeks","4/8",51,83,41,38,37,0.292,0.319,0.117,0.121,1.751,1.438,0.762,67.6,56.4
"10%","1.5 Hours","Across","12 Weeks","4/8",45,80,35,35,32,0.338,0.358,0.1,0.12,1.873,0.863,0.651,70.2,51.1
"20%","1.5 Hours","Across","12 Weeks","4/8",50,82,40,38,36,0.353,0.375,0.108,0.127,1.94,1.118,0.708,68.8,55.6
"30%","1.5 Hours","Across","12 Weeks","4/8",52,83,42,40,38,0.361,0.384,0.114,0.13,1.985,1.284,0.74,68,57.6
"40%","1.5 Hours","Across","12 Weeks","4/8",54,84,43,40,39,0.366,0.39,0.118,0.133,2.012,1.4,0.761,67.6,58.7
"50%","1 Hour","Across","8 Weeks","2/8",62,96,53,48,47,0.3204,0.3508,0.1198,0.1105,1.5202,1.4791,0.749,68.05,50.14
"50%","1.5 Hours","Across","12 Weeks","4/8",54,84,44,41,39,0.37,0.394,0.121,0.135,2.036,1.49,0.778,67.2,59.4
"10%","2 Hours","Across","12 Weeks","4/8",46,81,36,36,33,0.387,0.406,0.101,0.128,2.067,0.881,0.657,70,52
"20%","2 Hours","Across","12 Weeks","4/8",51,83,41,39,37,0.405,0.426,0.11,0.135,2.139,1.14,0.715,68.6,56.8
"30%","2 Hours","Across","12 Weeks","4/8",54,84,43,41,39,0.416,0.438,0.116,0.139,2.179,1.309,0.747,67.9,58.9
"40%","2 Hours","Across","12 Weeks","4/8",55,85,44,41,40,0.423,0.445,0.119,0.141,2.203,1.424,0.768,67.4,60
"50%","2 Hours","Across","12 Weeks","4/8",55,85,45,42,40,0.428,0.45,0.123,0.143,2.226,1.517,0.785,67.1,60.8
"10%","2.5 Hours","Across","12 Weeks","4/8",46,81,37,36,33,0.421,0.439,0.102,0.133,2.19,0.889,0.66,70,52.6
"20%","2.5 Hours","Across","12 Weeks","4/8",52,83,41,40,37,0.443,0.462,0.111,0.14,2.258,1.149,0.718,68.5,57.5
"30%","2.5 Hours","Across","12 Weeks","4/8",54,84,43,41,39,0.455,0.475,0.116,0.144,2.298,1.319,0.75,67.8,59.6
"40%","2.5 Hours","Across","12 Weeks","4/8",55,85,45,42,40,0.463,0.483,0.12,0.146,2.321,1.437,0.772,67.3,60.9
"10%","1.5 Hours","Across","8 Weeks","2/8",55,96,45,44,41,0.3761,0.3954,0.0987,0.1142,1.6811,0.8412,0.6286,71.03,45.26
"50%","2.5 Hours","Across","12 Weeks","4/8",56,85,46,42,41,0.469,0.49,0.124,0.148,2.345,1.533,0.789,67,61.7
"20%","1.5 Hours","Across","8 Weeks","2/8",61,96,51,48,46,0.3949,0.4165,0.1084,0.1197,1.7483,1.1107,0.6891,69.45,49.54
"30%","1.5 Hours","Across","8 Weeks","2/8",64,97,53,50,48,0.4037,0.4272,0.1149,0.1227,1.7808,1.2828,0.7236,68.6,51.43
"40%","1.5 Hours","Across","8 Weeks","2/8",65,97,55,51,49,0.4098,0.4344,0.1196,0.1248,1.8008,1.4103,0.7486,68,52.54
"50%","1 Hour","Across","6 Weeks","2/8",68,99,61,55,55,0.376,0.4075,0.1282,0.1125,1.5339,1.7242,0.7421,69.76,47.67
"50%","1.5 Hours","Across","8 Weeks","2/8",66,97,56,51,50,0.414,0.4397,0.1235,0.1267,1.8214,1.5142,0.7665,67.61,53.26
"10%","2 Hours","Across","8 Weeks","2/8",56,96,47,45,42,0.4316,0.4493,0.1,0.1229,1.8678,0.8523,0.6342,70.91,46.31
"20%","2 Hours","Across","8 Weeks","2/8",62,97,52,50,47,0.4553,0.4749,0.11,0.1292,1.9394,1.127,0.6956,69.33,50.83
"30%","2 Hours","Across","8 Weeks","2/8",65,97,55,51,49,0.4668,0.4878,0.1164,0.1325,1.9732,1.3024,0.7302,68.47,52.82
"40%","2 Hours","Across","8 Weeks","2/8",66,97,57,52,51,0.4752,0.4971,0.1212,0.1348,1.9923,1.4308,0.7548,67.87,53.99
"50%","2 Hours","Across","8 Weeks","2/8",67,97,58,53,52,0.4802,0.503,0.125,0.1367,2.0121,1.5342,0.7722,67.48,54.78
"10%","2.5 Hours","Across","8 Weeks","2/8",57,96,47,46,42,0.4686,0.4852,0.1008,0.1282,1.9834,0.859,0.6364,70.85,46.89
"20%","2.5 Hours","Across","8 Weeks","2/8",63,97,53,50,48,0.4956,0.5141,0.1109,0.1349,2.0596,1.1369,0.6984,69.26,51.54
"30%","2.5 Hours","Across","8 Weeks","2/8",66,97,56,52,50,0.5088,0.5286,0.1174,0.1384,2.0943,1.3152,0.7334,68.4,53.59
"40%","2.5 Hours","Across","8 Weeks","2/8",67,97,58,53,52,0.5187,0.5394,0.1223,0.1408,2.1128,1.4431,0.7582,67.81,54.8
"10%","1.5 Hours","Across","6 Weeks","2/8",61,99,53,51,48,0.4285,0.4482,0.1013,0.1151,1.6502,0.9609,0.6143,72.66,43.22
"50%","2.5 Hours","Across","8 Weeks","2/8",68,97,59,54,53,0.5246,0.5461,0.1262,0.1429,2.1339,1.5484,0.7758,67.4,55.63
"10%","1 Hour","Within","8 Weeks","2/8",47,91,37,36,33,0.2422,0.2639,0.0875,0.0961,1.2898,0.6637,0.5414,72.96,45.11
"20%","1 Hour","Within","8 Weeks","2/8",51,92,41,39,37,0.2515,0.275,0.095,0.1013,1.3711,0.8979,0.5907,71.57,49.06
"30%","1 Hour","Within","8 Weeks","2/8",52,92,42,40,38,0.2564,0.2814,0.0999,0.1044,1.4196,1.0421,0.6184,70.81,50.8
"40%","1 Hour","Within","8 Weeks","2/8",53,93,43,40,39,0.2593,0.2852,0.1034,0.1067,1.4528,1.1461,0.6367,70.35,51.82
"50%","1 Hour","Within","8 Weeks","2/8",54,93,44,41,40,0.2615,0.2881,0.1061,0.1083,1.4762,1.2222,0.6494,70.05,52.46
"10%","1.5 Hours","Within","8 Weeks","2/8",48,92,39,38,35,0.2917,0.3118,0.0893,0.1051,1.4991,0.6771,0.5504,72.67,46.82
"20%","1.5 Hours","Within","8 Weeks","2/8",53,93,42,40,38,0.3058,0.3274,0.0973,0.1112,1.5878,0.9177,0.6013,71.25,51.18
"30%","1.5 Hours","Within","8 Weeks","2/8",54,93,44,42,40,0.3133,0.3362,0.1025,0.1148,1.6406,1.0687,0.6303,70.47,53.08
"40%","1.5 Hours","Within","8 Weeks","2/8",55,93,45,42,41,0.3184,0.3419,0.1062,0.1172,1.6732,1.1764,0.6493,70,54.23
"20%","1.5 Hours","Across","6 Weeks","2/8",67,99,59,55,53,0.4494,0.4717,0.1124,0.1208,1.7253,1.2637,0.6731,71.19,46.91
"50%","1.5 Hours","Within","8 Weeks","2/8",56,93,46,43,41,0.3217,0.3457,0.109,0.1191,1.6981,1.255,0.6624,69.68,54.96
"10%","2 Hours","Within","8 Weeks","2/8",49,92,39,38,35,0.3253,0.3447,0.0904,0.1108,1.6299,0.6867,0.5545,72.57,47.58
"20%","2 Hours","Within","8 Weeks","2/8",54,93,43,41,39,0.3434,0.3642,0.0986,0.1175,1.7276,0.9303,0.6067,71.11,52.13
"30%","2 Hours","Within","8 Weeks","2/8",55,93,45,42,41,0.3528,0.3747,0.1038,0.1214,1.784,1.0838,0.6357,70.34,54.14
"40%","2 Hours","Within","8 Weeks","2/8",56,93,46,43,42,0.359,0.3813,0.1076,0.124,1.8179,1.1939,0.6549,69.85,55.35
"50%","2 Hours","Within","8 Weeks","2/8",57,94,47,44,42,0.3631,0.3859,0.1105,0.1259,1.8419,1.2749,0.6684,69.52,56.11
"10%","2.5 Hours","Within","8 Weeks","2/8",49,92,40,39,36,0.3492,0.3679,0.0909,0.1142,1.7116,0.692,0.5561,72.52,47.95
"20%","2.5 Hours","Within","8 Weeks","2/8",54,93,44,42,39,0.3695,0.3895,0.0991,0.1212,1.8147,0.9364,0.6085,71.06,52.61
"30%","2.5 Hours","Within","8 Weeks","2/8",56,93,46,43,41,0.3803,0.4012,0.1045,0.1253,1.8728,1.0905,0.6378,70.28,54.69
"40%","2.5 Hours","Within","8 Weeks","2/8",57,94,47,44,42,0.3875,0.4089,0.1084,0.128,1.9078,1.2022,0.6575,69.79,55.93
"30%","1.5 Hours","Across","6 Weeks","2/8",70,99,61,57,56,0.4597,0.4842,0.1202,0.1241,1.7613,1.4687,0.7111,70.36,48.67
"50%","2.5 Hours","Within","8 Weeks","2/8",57,94,47,44,43,0.3925,0.4144,0.1114,0.1301,1.9334,1.2862,0.6712,69.45,56.71
"10%","1 Hour","Across","10 Weeks","2/8",53,96,44,43,39,0.3044,0.3273,0.0979,0.1009,1.3966,0.8411,0.6263,71.12,47.15
"20%","1 Hour","Across","10 Weeks","2/8",59,96,49,46,44,0.3161,0.3419,0.1075,0.1051,1.4545,1.1124,0.6853,69.57,51.31
"30%","1 Hour","Across","10 Weeks","2/8",61,97,51,48,46,0.3219,0.3499,0.1137,0.1078,1.4863,1.2831,0.7192,68.72,53.11
"40%","1 Hour","Across","10 Weeks","2/8",62,97,53,49,47,0.3258,0.3554,0.1182,0.1096,1.5063,1.4066,0.7423,68.18,54.14
"50%","1 Hour","Across","10 Weeks","2/8",63,97,54,49,48,0.3282,0.3592,0.122,0.1111,1.5262,1.5088,0.7599,67.78,54.81
"10%","1.5 Hours","Across","10 Weeks","2/8",56,96,46,45,42,0.3898,0.4093,0.1003,0.1156,1.6986,0.8561,0.6387,70.83,49.55
"20%","1.5 Hours","Across","10 Weeks","2/8",62,97,52,49,47,0.4078,0.4294,0.1104,0.121,1.7651,1.1319,0.6995,69.21,54.22
"30%","1.5 Hours","Across","10 Weeks","2/8",65,97,55,51,49,0.4161,0.4394,0.1167,0.1239,1.7932,1.3069,0.7333,68.34,56.32
"40%","1.5 Hours","Across","10 Weeks","2/8",66,97,56,52,50,0.4223,0.447,0.1216,0.1261,1.8132,1.4381,0.7587,67.74,57.54
"40%","1.5 Hours","Across","6 Weeks","2/8",71,99,63,58,57,0.4659,0.4921,0.1262,0.1265,1.7875,1.6297,0.7362,69.8,49.69
"50%","1.5 Hours","Across","10 Weeks","2/8",67,97,57,53,51,0.4263,0.452,0.1256,0.1279,1.8336,1.5446,0.7767,67.33,58.36
"10%","2 Hours","Across","10 Weeks","2/8",57,96,47,46,43,0.4475,0.4653,0.1017,0.1248,1.892,0.87,0.6445,70.71,50.8
"20%","2 Hours","Across","10 Weeks","2/8",63,97,53,51,48,0.4707,0.4903,0.1119,0.1311,1.9653,1.149,0.7055,69.1,55.72
"30%","2 Hours","Across","10 Weeks","2/8",66,97,56,52,51,0.482,0.503,0.1184,0.1344,1.9965,1.3301,0.7404,68.2,57.98
"40%","2 Hours","Across","10 Weeks","2/8",68,97,58,54,52,0.49,0.5121,0.1235,0.1368,2.0151,1.4629,0.7655,67.61,59.3
"50%","2 Hours","Across","10 Weeks","2/8",68,97,59,54,53,0.495,0.5179,0.1275,0.1388,2.0351,1.5698,0.7833,67.19,60.16
"10%","2.5 Hours","Across","10 Weeks","2/8",58,96,48,47,43,0.487,0.5037,0.1025,0.1305,2.0139,0.876,0.6462,70.64,51.47
"20%","2.5 Hours","Across","10 Weeks","2/8",64,97,54,51,49,0.5136,0.5318,0.1127,0.1371,2.0892,1.1596,0.7076,69.03,56.52
"30%","2.5 Hours","Across","10 Weeks","2/8",67,97,57,53,51,0.5266,0.5461,0.1195,0.1407,2.1234,1.3429,0.7433,68.12,58.85
"40%","2.5 Hours","Across","10 Weeks","2/8",68,97,59,54,53,0.5357,0.5563,0.1246,0.1431,2.1415,1.4759,0.7689,67.51,60.23
